NAME,TEAM,FTM_AVG,SET_EASY,TIER_EASY,SERIES_EASY,PLAY_EASY,COUNT_EASY,LOW_ASK_EASY,4HCHANGE %,SET_HARD,TIER_HARD,SERIES_HARD,PLAY_HARD,COUNT_HARD,LOW_ASK_HARD,4HCHANGE%
Steven Adams,MEM,1.60,Base Set,Common,2,Dunk,35000,4.00,0.00,Base Set,Common,1,Assist,3346,44.00,0.00
Anfernee Simons,POR,1.58,Base Set,Common,3,Handles,60000,3.00,0.00,Base Set,Common,2,Dunk,12000,33.00,0.00
Jordan Clarkson,UTA,1.57,Base Set,Common,3,Steal,60000,3.00,0.00,Metallic Gold LE,Rare,2,Dunk,499,150.00,-3.23
De'Andre Hunter,ATL,1.56,Base Set,Common,3,Dunk,60000,3.00,0.00,Rising Stars,Rare,2,Layup,2021,130.00,1.56
Jalen Smith,PHX,1.55,Base Set,Common,2,Jump Shot,4000,145.00,-6.45,Base Set,Common,2,Jump Shot,4000,145.00,-6.45
Coby White,CHI,1.54,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,1,Assist,2979,96.00,1.05
Kelly Oubre Jr.,CHA,1.53,Base Set,Common,2,Dunk,15000,21.00,10.53,Base Set,Common,1,Block,3345,61.00,-4.69
Lonnie Walker IV,SAS,1.53,Base Set,Common,3,Layup,60000,2.00,0.00,Base Set,Common,1,3 Pointer,3999,33.00,0.00
Dwight Powell,DAL,1.53,Base Set,Common,2,Dunk,12000,16.00,-5.88,Base Set,Common,2,Dunk,12000,16.00,-5.88
LaMarcus Aldridge,BKN,1.52,Base Set,Common,3,Jump Shot,60000,2.00,-33.33,Base Set,Common,1,Jump Shot,3999,39.00,2.63
Bobby Portis,MIL,1.50,2021 NBA Playoffs,Common,2,Dunk,11250,28.00,3.70,Base Set,Common,2,Dunk,12000,30.00,0.00
Emmanuel Mudiay,SAC,1.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nik Stauskas,MIA,1.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Gary Trent Jr.,TOR,1.49,Base Set,Common,2,3 Pointer,12000,43.00,-6.52,Base Set,Common,2,3 Pointer,12000,43.00,-6.52
JaVale McGee,PHX,1.48,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,1,Block,3339,57.00,1.79
Rudy Gay,UTA,1.43,Base Set,Common,3,Dunk,60000,3.00,50.00,Base Set,Common,1,Dunk,3999,29.00,0.00
CJ McCollum,POR,1.43,Base Set,Common,2,Handles,40000,7.00,-12.50,Base Set,Common,1,Dunk,3999,59.00,0.00
Cameron Payne,PHX,1.43,Base Set,Common,3,Handles,60000,3.00,0.00,Base Set,Common,1,Steal,1500,48.00,-4.00
Tyrese Haliburton,SAC,1.41,Base Set,Common,3,Layup,9999,15.00,0.00,Base Set,Common,2,Jump Shot,4000,240.00,-3.61
Cody Zeller,POR,1.41,Base Set,Common,2,Dunk,40000,7.00,0.00,Base Set,Common,1,Dunk,3999,81.00,-1.22
Chris Duarte,IND,1.40,Base Set,Common,3,3 Pointer,4000,197.00,-2.48,Base Set,Common,3,3 Pointer,4000,197.00,-2.48
Danuel House Jr.,UTA,1.40,Base Set,Common,2,Layup,40000,4.00,0.00,Base Set,Common,1,Dunk,3525,29.00,0.00
Desmond Bane,MEM,1.38,Base Set,Common,3,Dunk,60000,6.00,0.00,Base Set,Common,2,3 Pointer,4000,185.00,-0.54
Moritz Wagner,ORL,1.37,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,1,Handles,3999,34.00,0.00
Terance Mann,LAC,1.36,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,2,Dunk,12000,14.00,7.69
Khem Birch,TOR,1.35,Base Set,Common,2,Dunk,40000,6.00,0.00,Base Set,Common,2,Dunk,12000,13.00,0.00
Malcolm Hill,ATL,1.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Mitchell Robinson,NYK,1.33,Base Set,Common,2,Dunk,15000,17.00,0.00,Base Set,Common,1,Dunk,3999,40.00,0.00
Obi Toppin,NYK,1.33,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,2,3 Pointer,4000,86.00,-1.15
Gary Harris,ORL,1.30,Base Set,Common,3,Layup,60000,3.00,50.00,Base Set,Common,1,Dunk,1000,93.00,5.68
